#  Theta paroi en deg  Angle Choc en deg        Kp           Inverse Mach       Mach amont       Mach aval
    27.42615293       45.10277778        0.55328192        0.25387978        2.00000000        1.45314551
    27.48043282       45.16277778        0.55514320        0.25289089        2.00000000        1.45129226
    27.53462098       45.22277778        0.55700418        0.25190003        2.00000000        1.44944063
    27.58871776       45.28277778        0.55886488        0.25090717        2.00000000        1.44759061
    27.64272260       45.34277778        0.56072525        0.24991232        2.00000000        1.44574220
    27.69663701       45.40277778        0.56258534        0.24891546        2.00000000        1.44389540
    27.75045989       45.46277778        0.56444510        0.24791659        2.00000000        1.44205019
    27.80419191       45.52277778        0.56630453        0.24691571        2.00000000        1.44020658
    27.85783352       45.58277778        0.56816365        0.24591279        2.00000000        1.43836457
    27.91138415       45.64277778        0.57002241        0.24490784        2.00000000        1.43652414
    27.96484469       45.70277778        0.57188086        0.24390084        2.00000000        1.43468529
    28.01821505       45.76277778        0.57373895        0.24289178        2.00000000        1.43284802
    28.07149496       45.82277778        0.57559669        0.24188068        2.00000000        1.43101233
    28.12468523       45.88277778        0.57745407        0.24086749        2.00000000        1.42917821
    28.17778578       45.94277778        0.57931110        0.23985223        2.00000000        1.42734565
    28.23079636       46.00277778        0.58116775        0.23883489        2.00000000        1.42551466
    28.28371744       46.06277778        0.58302403        0.23781545        2.00000000        1.42368522
    28.33654949       46.12277778        0.58487993        0.23679390        2.00000000        1.42185734
    28.38929200       46.18277778        0.58673545        0.23577025        2.00000000        1.42003101
    28.44194514       46.24277778        0.58859056        0.23474448        2.00000000        1.41820622
    28.49450960       46.30277778        0.59044528        0.23371658        2.00000000        1.41638298
    28.54698519       46.36277778        0.59229961        0.23268654        2.00000000        1.41456128
    28.59937179       46.42277778        0.59415351        0.23165437        2.00000000        1.41274111
    28.65166953       46.48277778        0.59600699        0.23062004        2.00000000        1.41092248
    28.70387888       46.54277778        0.59786005        0.22958355        2.00000000        1.40910537
    28.75599993       46.60277778        0.59971270        0.22854489        2.00000000        1.40728978
    28.80803246       46.66277778        0.60156490        0.22750405        2.00000000        1.40547572
    28.85997656       46.72277778        0.60341665        0.22646103        2.00000000        1.40366318
    28.91183236       46.78277778        0.60526796        0.22541582        2.00000000        1.40185214
    28.96360020       46.84277778        0.60711881        0.22436840        2.00000000        1.40004262
    29.01528022       46.90277778        0.60896921        0.22331877        2.00000000        1.39823461
    29.06687219       46.96277778        0.61081914        0.22226692        2.00000000        1.39642810
    29.11837621       47.02277778        0.61266860        0.22121285        2.00000000        1.39462309
    29.16979238       47.08277778        0.61451757        0.22015654        2.00000000        1.39281958
    29.22112077       47.14277778        0.61636605        0.21909799        2.00000000        1.39101756
    29.27236146       47.20277778        0.61821404        0.21803718        2.00000000        1.38921703
    29.32351477       47.26277778        0.62006153        0.21697412        2.00000000        1.38741799
    29.37458063       47.32277778        0.62190853        0.21590878        2.00000000        1.38562043
    29.42555898       47.38277778        0.62375501        0.21484116        2.00000000        1.38382436
    29.47644989       47.44277778        0.62560097        0.21377126        2.00000000        1.38202976
    29.52725342       47.50277778        0.62744640        0.21269906        2.00000000        1.38023664
    29.57796962       47.56277778        0.62929130        0.21162456        2.00000000        1.37844499
    29.62859855       47.62277778        0.63113567        0.21054775        2.00000000        1.37665482
    29.67914026       47.68277778        0.63297948        0.20946862        2.00000000        1.37486611
    29.72959479       47.74277778        0.63482275        0.20838716        2.00000000        1.37307886
    29.77996218       47.80277778        0.63666545        0.20730337        2.00000000        1.37129307
    29.83024248       47.86277778        0.63850760        0.20621722        2.00000000        1.36950875
    29.88043572       47.92277778        0.64034917        0.20512872        2.00000000        1.36772588
    29.93054192       47.98277778        0.64219016        0.20403786        2.00000000        1.36594446
    29.98056113       48.04277778        0.64403057        0.20294463        2.00000000        1.36416449
    30.03049335       48.10277778        0.64587039        0.20184901        2.00000000        1.36238597
    30.08033862       48.16277778        0.64770960        0.20075101        2.00000000        1.36060890
    30.13009694       48.22277778        0.64954822        0.19965060        2.00000000        1.35883327
    30.17976834       48.28277778        0.65138622        0.19854779        2.00000000        1.35705908
    30.22935282       48.34277778        0.65322361        0.19744257        2.00000000        1.35528632
    30.27885038       48.40277778        0.65506037        0.19633492        2.00000000        1.35351501
    30.32826104       48.46277778        0.65689649        0.19522484        2.00000000        1.35174512
    30.37758480       48.52277778        0.65873198        0.19411231        2.00000000        1.34997667
    30.42682164       48.58277778        0.66056682        0.19299734        2.00000000        1.34820965
    30.47597156       48.64277778        0.66240101        0.19187990        2.00000000        1.34644405
    30.52503455       48.70277778        0.66423454        0.19076000        2.00000000        1.34467987
    30.57401061       48.76277778        0.66606740        0.18963762        2.00000000        1.34291712
    30.62289970       48.82277778        0.66789958        0.18851276        2.00000000        1.34115579
    30.67170214       48.88277778        0.66973110        0.18738540        2.00000000        1.33939587
    30.72041763       48.94277778        0.67156193        0.18625553        2.00000000        1.33763737
    30.76904612       49.00277778        0.67339206        0.18512315        2.00000000        1.33588028
    30.81758757       49.06277778        0.67522149        0.18398825        2.00000000        1.33412461
    30.86604196       49.12277778        0.67705021        0.18285082        2.00000000        1.33237034
    30.91440925       49.18277778        0.67887822        0.18171085        2.00000000        1.33061748
    30.96268943       49.24277778        0.68070550        0.18056834        2.00000000        1.32886603
    31.01088292       49.30277778        0.68253206        0.17942326        2.00000000        1.32711597
    31.05898920       49.36277778        0.68435789        0.17827561        2.00000000        1.32536732
    31.10700823       49.42277778        0.68618297        0.17712539        2.00000000        1.32362007
    31.15493995       49.48277778        0.68800730        0.17597259        2.00000000        1.32187422
    31.20278431       49.54277778        0.68983086        0.17481719        2.00000000        1.32012976
    31.25054190       49.60277778        0.69165368        0.17365919        2.00000000        1.31838670
    31.29821203       49.66277778        0.69347573        0.17249857        2.00000000        1.31664503
    31.34579464       49.72277778        0.69529699        0.17133533        2.00000000        1.31490475
    31.39328967       49.78277778        0.69711746        0.17016947        2.00000000        1.31316586
    31.44069763       49.84277778        0.69893715        0.16900096        2.00000000        1.31142836
    31.48801802       49.90277778        0.70075605        0.16782980        2.00000000        1.30969224
    31.53525063       49.96277778        0.70257412        0.16665599        2.00000000        1.30795750
    31.58239549       50.02277778        0.70439138        0.16547951        2.00000000        1.30622415
    31.62945312       50.08277778        0.70620785        0.16430034        2.00000000        1.30449218
    31.67642275       50.14277778        0.70802347        0.16311849        2.00000000        1.30276159
    31.72330427       50.20277778        0.70983825        0.16193395        2.00000000        1.30103238
    31.77009836       50.26277778        0.71165220        0.16074670        2.00000000        1.29930454
    31.81680434       50.32277778        0.71346531        0.15955673        2.00000000        1.29757808
    31.86342196       50.38277778        0.71527754        0.15836405        2.00000000        1.29585300
    31.90995192       50.44277778        0.71708893        0.15716862        2.00000000        1.29412928
    31.95639351       50.50277778        0.71889944        0.15597046        2.00000000        1.29240694
    32.00274647       50.56277778        0.72070906        0.15476955        2.00000000        1.29068596
    32.04901171       50.62277778        0.72251783        0.15356586        2.00000000        1.28896636
    32.09518809       50.68277778        0.72432568        0.15235941        2.00000000        1.28724812
    32.14127594       50.74277778        0.72613264        0.15115017        2.00000000        1.28553125
    32.18727540       50.80277778        0.72793870        0.14993814        2.00000000        1.28381574
    32.23318568       50.86277778        0.72974383        0.14872333        2.00000000        1.28210160
    32.27900771       50.92277778        0.73154806        0.14750568        2.00000000        1.28038882
    32.32474044       50.98277778        0.73335135        0.14628523        2.00000000        1.27867740
    32.37038429       51.04277778        0.73515372        0.14506194        2.00000000        1.27696734
    32.41593904       51.10277778        0.73695514        0.14383581        2.00000000        1.27525864
    32.46140439       51.16277778        0.73875560        0.14260684        2.00000000        1.27355130
    32.50678070       51.22277778        0.74055512        0.14137500        2.00000000        1.27184531
    32.55206717       51.28277778        0.74235366        0.14014030        2.00000000        1.27014068
    32.59726457       51.34277778        0.74415125        0.13890272        2.00000000        1.26843741
    32.64237178       51.40277778        0.74594784        0.13766225        2.00000000        1.26673549
    32.68738977       51.46277778        0.74774347        0.13641887        2.00000000        1.26503492
    32.73231729       51.52277778        0.74953808        0.13517260        2.00000000        1.26333571
    32.77715534       51.58277778        0.75133172        0.13392340        2.00000000        1.26163785
    32.82190275       51.64277778        0.75312432        0.13267128        2.00000000        1.25994134
    32.86656032       51.70277778        0.75491594        0.13141621        2.00000000        1.25824618
    32.91112715       51.76277778        0.75670651        0.13015820        2.00000000        1.25655236
    32.95560366       51.82277778        0.75849607        0.12889723        2.00000000        1.25485990
    32.99998942       51.88277778        0.76028458        0.12763329        2.00000000        1.25316878
