#    eta               f             df/deta       d2f/deta^2       d3f/deta^3            v Rex
# -0.19878900E+00    # beta 
 0.93600004E+00  0.12508190E-01  0.39927607E-01  0.84884240E-01  0.89781393E-01  0.12432026E-01
 0.94200004E+00  0.12749210E-01  0.40438447E-01  0.85422882E-01  0.89765254E-01  0.12671905E-01
 0.94800005E+00  0.12993304E-01  0.40952520E-01  0.85961427E-01  0.89748805E-01  0.12914843E-01
 0.95400005E+00  0.13240492E-01  0.41469823E-01  0.86499872E-01  0.89732045E-01  0.13160860E-01
 0.96000005E+00  0.13490793E-01  0.41990356E-01  0.87038216E-01  0.89714967E-01  0.13409976E-01
 0.96600005E+00  0.13744226E-01  0.42514120E-01  0.87576457E-01  0.89697569E-01  0.13662208E-01
 0.97200005E+00  0.14000811E-01  0.43041112E-01  0.88114592E-01  0.89679847E-01  0.13917576E-01
 0.97800005E+00  0.14260567E-01  0.43571333E-01  0.88652620E-01  0.89661796E-01  0.14176099E-01
 0.98400005E+00  0.14523514E-01  0.44104782E-01  0.89190538E-01  0.89643412E-01  0.14437797E-01
 0.99000005E+00  0.14789671E-01  0.44641458E-01  0.89728345E-01  0.89624693E-01  0.14702688E-01
 0.99600005E+00  0.15059056E-01  0.45181361E-01  0.90266039E-01  0.89605633E-01  0.14970791E-01
 0.10020000E+01  0.15331691E-01  0.45724489E-01  0.90803618E-01  0.89586228E-01  0.15242125E-01
 0.10080000E+01  0.15607593E-01  0.46270843E-01  0.91341079E-01  0.89566475E-01  0.15516709E-01
 0.10140000E+01  0.15886783E-01  0.46820421E-01  0.91878421E-01  0.89546369E-01  0.15794563E-01
 0.10200000E+01  0.16169280E-01  0.47373222E-01  0.92415641E-01  0.89525907E-01  0.16075705E-01
 0.10260000E+01  0.16455102E-01  0.47929247E-01  0.92952738E-01  0.89505083E-01  0.16360154E-01
 0.10320000E+01  0.16744270E-01  0.48488494E-01  0.93489708E-01  0.89483895E-01  0.16647929E-01
 0.10380000E+01  0.17036802E-01  0.49050962E-01  0.94026550E-01  0.89462337E-01  0.16939050E-01
 0.10440000E+01  0.17332719E-01  0.49616651E-01  0.94563262E-01  0.89440406E-01  0.17233534E-01
