#  Theta paroi en °  Angle Choc en °     Mach amont
    50.25640479       58.17107346       20.00000000
    50.31736895       58.25820748       20.00000000
    50.37820824       58.34534150       20.00000000
    50.43892165       58.43247551       20.00000000
    50.49950818       58.51960953       20.00000000
    50.55996682       58.60674354       20.00000000
    50.62029655       58.69387756       20.00000000
    50.68049632       58.78101158       20.00000000
    50.74056510       58.86814559       20.00000000
    50.80050182       58.95527961       20.00000000
    50.86030542       59.04241362       20.00000000
    50.91997482       59.12954764       20.00000000
    50.97950892       59.21668166       20.00000000
    51.03890663       59.30381567       20.00000000
    51.09816682       59.39094969       20.00000000
    51.15728838       59.47808370       20.00000000
    51.21627016       59.56521772       20.00000000
    51.27511101       59.65235174       20.00000000
    51.33380978       59.73948575       20.00000000
    51.39236527       59.82661977       20.00000000
    51.45077631       59.91375378       20.00000000
    51.50904170       60.00088780       20.00000000
    51.56716022       60.08802182       20.00000000
    51.62513063       60.17515583       20.00000000
    51.68295171       60.26228985       20.00000000
    51.74062219       60.34942386       20.00000000
    51.79814081       60.43655788       20.00000000
    51.85550628       60.52369190       20.00000000
    51.91271731       60.61082591       20.00000000
    51.96977259       60.69795993       20.00000000
    52.02667079       60.78509394       20.00000000
    52.08341057       60.87222796       20.00000000
    52.13999057       60.95936198       20.00000000
    52.19640942       61.04649599       20.00000000
    52.25266575       61.13363001       20.00000000
    52.30875814       61.22076402       20.00000000
    52.36468518       61.30789804       20.00000000
    52.42044543       61.39503206       20.00000000
    52.47603745       61.48216607       20.00000000
    52.53145977       61.56930009       20.00000000
    52.58671091       61.65643410       20.00000000
    52.64178936       61.74356812       20.00000000
    52.69669361       61.83070214       20.00000000
    52.75142213       61.91783615       20.00000000
    52.80597335       62.00497017       20.00000000
    52.86034572       62.09210418       20.00000000
    52.91453765       62.17923820       20.00000000
    52.96854752       62.26637222       20.00000000
    53.02237371       62.35350623       20.00000000
    53.07601458       62.44064025       20.00000000
    53.12946846       62.52777426       20.00000000
    53.18273368       62.61490828       20.00000000
    53.23580852       62.70204230       20.00000000
    53.28869126       62.78917631       20.00000000
    53.34138016       62.87631033       20.00000000
    53.39387346       62.96344434       20.00000000
    53.44616936       63.05057836       20.00000000
    53.49826607       63.13771238       20.00000000
    53.55016175       63.22484639       20.00000000
    53.60185456       63.31198041       20.00000000
    53.65334262       63.39911442       20.00000000
    53.70462404       63.48624844       20.00000000
    53.75569689       63.57338246       20.00000000
    53.80655924       63.66051647       20.00000000
    53.85720913       63.74765049       20.00000000
    53.90764455       63.83478450       20.00000000
    53.95786351       63.92191852       20.00000000
    54.00786396       64.00905254       20.00000000
    54.05764384       64.09618655       20.00000000
    54.10720105       64.18332057       20.00000000
    54.15653350       64.27045459       20.00000000
    54.20563902       64.35758860       20.00000000
    54.25451547       64.44472262       20.00000000
    54.30316064       64.53185663       20.00000000
    54.35157231       64.61899065       20.00000000
    54.39974824       64.70612467       20.00000000
    54.44768613       64.79325868       20.00000000
    54.49538370       64.88039270       20.00000000
    54.54283859       64.96752671       20.00000000
    54.59004846       65.05466073       20.00000000
    54.63701089       65.14179475       20.00000000
    54.68372347       65.22892876       20.00000000
    54.73018373       65.31606278       20.00000000
    54.77638919       65.40319679       20.00000000
